weight,weight_2
-0.0424026423,-0.1272079269
-0.0061872486,-0.0185617458
-0.0630072998,-0.1890218994
-0.2220269388,-0.6660808164
0.0423388211,0.1270164633
0.0174870707,0.0524612121
0.0734475484,0.2203426452
0.043328049,0.129984147
0.0964683137,0.2894049411
0.0667782795,0.2003348385
0.0342222795,0.1026668385
0.0078736159,0.0236208477
0.0040817691,0.0122453073
0.1589043563,0.4767130689
0.0146943275,0.0440829825
0.1774758379,0.5324275137
-0.0299927803,-0.0899783409
0.0687965976,0.2063897928
0.0101959352,0.0305878056
0.012505113,0.037515339
-0.0380564474,-0.1141693422
0.0102486526,0.0307459578
-0.0867251854,-0.2601755562
-0.0433445453,-0.1300336359
-0.0601890103,-0.1805670309
-0.0987744997,-0.2963234991
0.0581374764,0.1744124292
-0.1697484073,-0.5092452219
0.0703245849,0.2109737547
0.0726060093,0.2178180279
0.1406595848,0.4219787544
-0.0687091379,-0.2061274137
-0.0896497102,-0.2689491306
-0.1451780673,-0.4355342019
0.0062041531,0.0186124593
0.0173886635,0.0521659905
-0.031568767,-0.094706301
0.1502663386,0.4507990158
-0.0210684903,-0.0632054709
-0.1315931847,-0.3947795541
-0.088717761,-0.266153283
-0.087538857,-0.262616571
0.0522295859,0.1566887577
0.1306440771,0.3919322313
0.2504880455,0.7514641365
-0.0399750038,-0.1199250114
-0.0161112841,-0.0483338523
0.0179312394,0.0537937182
-0.0590940969,-0.1772822907
0.0245678772,0.0737036316
-0.2418554967,-0.7255664901
-0.2060480393,-0.6181441179
-0.1387887593,-0.4163662779
-0.0071158008,-0.0213474024
0.0325926767,0.0977780301
-0.0431383226,-0.1294149678
0.089372334,0.268117002
0.0864690138,0.2594070414
-0.0428507394,-0.1285522182
0.0686922469,0.2060767407
-0.1051060949,-0.3153182847
-0.2046198483,-0.6138595449
0.036020255,0.108060765
0.0247589256,0.0742767768
-0.0515521514,-0.1546564542
0.0565584432,0.1696753296
0.0589218784,0.1767656352
0.030267665,0.090802995
0.1686741616,0.5060224848
-0.0668738404,-0.2006215212
0.031544971,0.094634913
-0.0985715018,-0.2957145054
0.1112894853,0.3338684559
-0.1119576006,-0.3358728018
-0.0181375006,-0.0544125018
0.08268359,0.24805077
-0.0033115086,-0.0099345258
-0.0316325281,-0.0948975843
0.0761198377,0.2283595131
0.0161779106,0.0485337318
0.1736642603,0.5209927809
-0.0154610304,-0.0463830912
-0.124823612,-0.374470836
0.0455315799,0.1365947397
-0.0095433805,-0.0286301415
-0.1158103765,-0.3474311295
0.0249095081,0.0747285243
0.0817420753,0.2452262259
0.0523375633,0.1570126899
-0.0352772409,-0.1058317227
0.0875681044,0.2627043132
-0.0210387623,-0.0631162869
-0.107136082,-0.321408246
-0.0751727077,-0.2255181231
0.1206883276,0.3620649828
-0.1622295464,-0.4866886392
0.0046397862,0.0139193586
-0.131164478,-0.393493434
-0.0157540639,-0.0472621917
-0.0297445706,-0.0892337118
-0.1945569719,-0.5836709157
-0.0024227742,-0.0072683226
-0.0934818016,-0.2804454048
0.1035913902,0.3107741706
0.0451605282,0.1354815846
0.0138140541,0.0414421623
-0.0701898737,-0.2105696211
0.0098988711,0.0296966133
-0.1496102711,-0.4488308133
0.1561749327,0.4685247981
-0.0355612383,-0.1066837149
0.0985481425,0.2956444275
-0.0192800395,-0.0578401185
0.004786208,0.014358624
0.0585377213,0.1756131639
-0.1576424649,-0.4729273947
-0.0243067546,-0.0729202638
-0.0411737118,-0.1235211354
-0.0483288609,-0.1449865827
0.0425587449,0.1276762347
0.0226871146,0.0680613438
-0.0309075042,-0.0927225126
0.014263413,0.042790239
-0.1125057619,-0.3375172857
-0.1143911641,-0.3431734923
-0.0136463574,-0.0409390722
-0.2716185341,-0.8148556023
-0.0370456492,-0.1111369476
0.0784788804,0.2354366412
0.083892312,0.251676936
0.0290627136,0.0871881408
-0.0660583876,-0.1981751628
-0.0510758277,-0.1532274831
0.0022586496,0.0067759488
0.1531528235,0.4594584705
0.0091128774,0.0273386322
-0.0443131983,-0.1329395949
0.2146474558,0.6439423674
-0.0795736111,-0.2387208333
-0.1148778962,-0.3446336886
0.045309084,0.135927252
0.0447381631,0.1342144893
-0.2873617452,-0.8620852356
0.0229927286,0.0689781858
0.0103669744,0.0311009232
0.1127413948,0.3382241844
0.1790202895,0.5370608685
-0.0539718063,-0.1619154189
0.0400272092,0.1200816276
0.2077719475,0.6233158425
-0.0686325542,-0.2058976626
-0.0301495906,-0.0904487718
0.069398477,0.208195431
0.0676112342,0.2028337026
-0.0326377055,-0.0979131165
0.1085202019,0.3255606057
0.0373496653,0.1120489959
-0.1318062454,-0.3954187362
-0.1340814806,-0.4022444418
-0.0769830877,-0.2309492631
0.0665167569,0.1995502707
-0.0634020603,-0.1902061809
-0.1453204484,-0.4359613452
-0.1932935065,-0.5798805195
-0.0779229347,-0.2337688041
-0.0087659436,-0.0262978308
-0.0862104549,-0.2586313647
-0.0522501963,-0.1567505889
0.1289419706,0.3868259118
0.1300211169,0.3900633507
-0.0666000174,-0.1998000522
0.1173760665,0.3521281995
-0.0499603668,-0.1498811004
-0.0384931549,-0.1154794647
0.0179387043,0.0538161129
-0.0829233403,-0.2487700209
-0.1669696445,-0.5009089335
-0.0882132386,-0.2646397158
0.1542259451,0.4626778353
-0.0629968928,-0.1889906784
0.0335339284,0.1006017852
-0.0470629969,-0.1411889907
-0.0913048271,-0.2739144813
0.1620108466,0.4860325398
0.0711759052,0.2135277156
-0.0506514763,-0.1519544289
-0.0274632573,-0.0823897719
-0.1178574122,-0.3535722366
0.0679986708,0.2039960124
0.0743592051,0.2230776153
-0.1478273101,-0.4434819303
-0.0354288846,-0.1062866538
0.0342126502,0.1026379506
-0.1025744854,-0.3077234562
-0.1071005001,-0.3213015003
-0.0903642969,-0.2710928907
-0.1262175333,-0.3786525999
0.0573947361,0.1721842083
-0.0961608287,-0.2884824861
-0.0305862823,-0.0917588469
-0.2019086676,-0.6057260028
-0.0550355146,-0.1651065438
0.0660038769,0.1980116307
0.076847386,0.230542158
-0.0995084589,-0.2985253767
-0.0624512208,-0.1873536624
0.0540708283,0.1622124849
0.0715051135,0.2145153405
0.0811670142,0.2435010426
-0.0872919197,-0.2618757591
0.0344580082,0.1033740246
-0.1892736369,-0.5678209107
0.0800056131,0.2400168393
0.0994128459,0.2982385377
0.1917310433,0.5751931299
0.0582617008,0.1747851024
0.0777283561,0.2331850683
-0.1529310848,-0.4587932544
0.0824251866,0.2472755598
0.1213827043,0.3641481129
0.1731450789,0.5194352367
0.0831906837,0.2495720511
-0.0263378417,-0.0790135251
0.0555117954,0.1665353862
0.0754762286,0.2264286858
-0.0729389054,-0.2188167162
0.0567693736,0.1703081208
0.1310346503,0.3931039509
0.1198016358,0.3594049074
-0.0163366853,-0.0490100559
0.0316018712,0.0948056136
0.0316685264,0.0950055792
-0.0739673064,-0.2219019192
0.1238977586,0.3716932758
-0.0259881919,-0.0779645757
0.0338411734,0.1015235202
-0.0050868195,-0.0152604585
-0.011832984,-0.035498952
-0.1899431193,-0.5698293579
0.0350015774,0.1050047322
0.0541241518,0.1623724554
-0.0569536686,-0.1708610058
0.0291634351,0.0874903053
0.0840618935,0.2521856805
-0.1006261989,-0.3018785967
0.0157839867,0.0473519601
-0.088602868,-0.265808604
0.0001472525,0.0004417575
-0.0654053973,-0.1962161919
0.0376934199,0.1130802597
-0.060242686,-0.180728058
-0.0256947982,-0.0770843946
0.0046218928,0.0138656784
-0.0305393274,-0.0916179822
-0.0825033713,-0.2475101139
0.0303836064,0.0911508192
0.0915746243,0.2747238729
0.1220333116,0.3660999348
0.0806603725,0.2419811175
0.1228865512,0.3686596536
0.0118787265,0.0356361795
0.0994983311,0.2984949933
-0.0848427115,-0.2545281345
0.1157071591,0.3471214773
-0.0633809864,-0.1901429592
-0.1583919785,-0.4751759355
-0.0695325365,-0.2085976095
-0.002399229,-0.007197687
0.0738925549,0.2216776647
0.047382285,0.142146855
0.1052959079,0.3158877237
0.0638012347,0.1914037041
-0.1540878551,-0.4622635653
-0.112667082,-0.338001246
0.1521231733,0.4563695199
-0.1447093104,-0.4341279312
0.0886001376,0.2658004128
-0.0900323291,-0.2700969873
0.2138698833,0.6416096499
0.019618603,0.058855809
0.1659327639,0.4977982917
-0.0110969093,-0.0332907279
0.0258009316,0.0774027948
0.029713611,0.089140833
-0.0968053236,-0.2904159708
-0.0910236236,-0.2730708708
-0.0794232173,-0.2382696519
-0.0476355511,-0.1429066533
0.0202912593,0.0608737779
0.2310020041,0.6930060123
0.066951559,0.200854677
-0.0455295589,-0.1365886767
0.0390365831,0.1171097493
