height,height_2
0.1459380621,0.2918761242
1.9038669607,3.8077339214
-0.6762416,-1.3524832
-0.9035812076,-1.8071624152
0.0187738119,0.0375476238
1.1125803487,2.2251606974
0.7537447931,1.5074895862
1.0784141188,2.1568282376
-1.5655037537,-3.1310075074
-1.537517285,-3.07503457
-0.1689139931,-0.3378279862
-1.5862519443,-3.1725038886
0.5682561584,1.1365123168
1.3232098734,2.6464197468
1.6473310944,3.2946621888
1.2633786853,2.5267573706
-0.4636564404,-0.9273128808
-1.0682818443,-2.1365636886
-0.4509912357,-0.9019824714
1.3219781052,2.6439562104
1.047193462,2.094386924
-1.7670273893,-3.5340547786
-1.6239275122,-3.2478550244
0.517231415,1.03446283
-0.5671382966,-1.1342765932
-0.698770145,-1.39754029
-1.3899440914,-2.7798881828
0.8628388727,1.7256777454
-1.5952608446,-3.1905216892
0.7417697459,1.4835394918
0.7331128931,1.4662257862
-0.5364256306,-1.0728512612
0.2773967627,0.5547935254
0.1380997524,0.2761995048
0.7983761355,1.596752271
-1.4343443299,-2.8686886598
0.20288275,0.4057655
0.6228531348,1.2457062696
1.2772396877,2.5544793754
1.4828045834,2.9656091668
0.3968715155,0.793743031
-1.6075262213,-3.2150524426
0.0371672381,0.0743344762
-1.0864608092,-2.1729216184
1.2607947448,2.5215894896
-0.0025346484,-0.0050692968
-0.9249622691,-1.8499245382
1.4691037657,2.9382075314
-0.1692210725,-0.338442145
0.8478042129,1.6956084258
1.0233940538,2.0467881076
-0.3099318156,-0.6198636312
-0.5457753818,-1.0915507636
-0.2956138644,-0.5912277288
-1.9175389633,-3.8350779266
-0.4860504176,-0.9721008352
-0.2935169628,-0.5870339256
1.4570646277,2.9141292554
0.0381318368,0.0762636736
-1.4697449794,-2.9394899588
1.5455408543,3.0910817086
-1.5979236085,-3.195847217
-1.1770666894,-2.3541333788
1.1150812805,2.230162561
0.3230550783,0.6461101566
-0.087824869,-0.175649738
-1.6667996123,-3.3335992246
1.2268977538,2.4537955076
0.4202004112,0.8404008224
0.5153972311,1.0307944622
1.7822319707,3.5644639414
0.9446451599,1.8892903198
0.708801846,1.417603692
-0.8204002939,-1.6408005878
-1.4950053804,-2.9900107608
-0.6954740444,-1.3909480888
0.1466524946,0.2933049892
-1.6279196637,-3.2558393274
1.0903974641,2.1807949282
-1.3873036401,-2.7746072802
1.8292745519,3.6585491038
0.6564511601,1.3129023202
-0.8017355688,-1.6034711376
1.4907393679,2.9814787358
-1.8027722901,-3.6055445802
-0.9554029973,-1.9108059946
-0.7958909785,-1.591781957
1.7862947732,3.5725895464
0.5941615487,1.1883230974
1.4757594541,2.9515189082
1.7162603922,3.4325207844
0.4966419162,0.9932838324
-0.7411003858,-1.4822007716
0.3523176527,0.7046353054
-1.0679075094,-2.1358150188
-1.0339363748,-2.0678727496
-0.4353768062,-0.8707536124
-0.8899216773,-1.7798433546
1.0206275303,2.0412550606
1.1070157755,2.214031551
0.3186212853,0.6372425706
-1.9459896758,-3.8919793516
-0.1511412924,-0.3022825848
-1.658367469,-3.316734938
-0.9746741084,-1.9493482168
-1.9065675605,-3.813135121
1.9284464996,3.8568929992
-1.6333074057,-3.2666148114
0.2012148229,0.4024296458
-1.3103770521,-2.6207541042
-0.7940877704,-1.5881755408
-0.3687773561,-0.7375547122
-1.3062242419,-2.6124484838
-0.9383869926,-1.8767739852
1.4529809467,2.9059618934
0.4481180217,0.8962360434
1.4020527806,2.8041055612
-1.7896202616,-3.5792405232
-0.1602433315,-0.320486663
-1.3467665417,-2.6935330834
-1.7910957597,-3.5821915194
1.3337267665,2.667453533
-0.7036201311,-1.4072402622
1.7782984572,3.5565969144
1.2437183047,2.4874366094
-0.5046203295,-1.009240659
0.8719593771,1.7439187542
-1.2794896187,-2.5589792374
0.0296357097,0.0592714194
-0.8270408427,-1.6540816854
0.4863075707,0.9726151414
-0.8367687035,-1.673537407
0.7046363261,1.4092726522
-1.0445129331,-2.0890258662
0.1742541017,0.3485082034
-1.1107508894,-2.2215017788
1.9706399785,3.941279957
-1.6754684309,-3.3509368618
1.5323659712,3.0647319424
1.2585887257,2.5171774514
0.5892997356,1.1785994712
-1.4442730807,-2.8885461614
-1.9378702305,-3.875740461
-1.2289617043,-2.4579234086
0.1088452684,0.2176905368
-1.7393560912,-3.4787121824
1.7184672477,3.4369344954
-0.7674800484,-1.5349600968
-1.9488340458,-3.8976680916
0.5385847138,1.0771694276
-0.7988466695,-1.597693339
0.1105386764,0.2210773528
-0.956149877,-1.912299754
-1.4391747043,-2.8783494086
1.0171179734,2.0342359468
-0.3638009364,-0.7276018728
0.3711914252,0.7423828504
0.7534839464,1.5069678928
-1.3793474585,-2.758694917
-0.8186721737,-1.6373443474
0.41478517,0.82957034
1.8464367138,3.6928734276
1.2910053357,2.5820106714
0.963836167,1.927672334
1.603654528,3.207309056
0.195574061,0.391148122
0.4215521468,0.8431042936
1.6972876405,3.394575281
-1.5029619224,-3.0059238448
1.7032108186,3.4064216372
-1.2058975091,-2.4117950182
1.427436538,2.854873076
1.0852576075,2.170515215
0.5477946047,1.0955892094
-1.910503028,-3.821006056
0.1178784249,0.2357568498
-0.3330047503,-0.6660095006
-0.7209789483,-1.4419578966
0.8222394511,1.6444789022
0.6700021951,1.3400043902
1.3669601968,2.7339203936
-0.1050417349,-0.2100834698
-0.5417078724,-1.0834157448
-1.9426949136,-3.8853898272
-1.0963685652,-2.1927371304
1.2999761589,2.5999523178
1.2711154725,2.542230945
1.0208931156,2.0417862312
1.3695573024,2.7391146048
1.5816444485,3.163288897
0.3796228673,0.7592457346
-1.2071258947,-2.4142517894
-0.217225465,-0.43445093
-1.5851908997,-3.1703817994
-0.1398592452,-0.2797184904
1.85082989,3.70165978
0.7473409958,1.4946819916
1.1361290216,2.2722580432
